tweet_id,file_name,completeness,content_type,text_body,username,image_text_description,likes,replies,retweets,views,time_of_post,supportive,hostile,sarcastic,ambivalent,nationalist,anti_elite,fearful,optimistic,skeptical,disengaged,neg,neu,pos,compound
1.85256E+18,screenshot_63.png,1,tweet,TO THINK THAT IMPORTING WELFARE RECIPIENTS WHO WANT TO KILL US IS A GOOD IDEA,Kamala Harris,Image shows a woman (Kamala Harris) smiling. The image is associated with a positive sentiment.,5,1,1,0,34m,0,-0.7,0,0,0,0,0.7,0,0,0,0.236,0.553,0.211,-0.3612
1.85256E+18,screenshot_63.png,1,tweet,loser,juki2k,Image shows a woman smiling. The image is associated with a positive sentiment.,15,1,1,0,34m,0,-0.9,0,0,0,0,0,0,0,0,1,0,0,-0.5267
1.85256E+18,screenshot_63.png,1,tweet,Trump is a loser,franklinsbored,Image shows a picture of Donald Trump. The image is associated with a negative sentiment.,13,1,27,0,2h,0,0.8,0,0,0,0,0,0,0,0,0.63,0.37,0,-0.5267
1.85256E+18,screenshot_48.png,1,tweet,"Fixed it. 
I will be president for all Americans. 
@KamalaHarris #6 
@KamalaHarris #Oligarchs",Kamala Harris,"Image shows Kamala Harris with an American flag background, suggesting a political campaign or statement.",0,0,0,0,11 hr,0.8,-0.2,-0.5,-0.7,0.6,0.4,-0.1,0.9,-0.6,-0.8,0,1,0,0
1.85256E+18,screenshot_48.png,1,tweet,"God willing, we won't have to worry about that. Your campaign has been the most divisive I've seen in my lifetime.",Lockean Legacy,No image present.,0,0,0,0,25m,-0.5,0.7,-0.2,0.1,0,0,0.2,-0.8,0.6,-0.4,0,0.808,0.192,0.5432
1.85256E+18,screenshot_64.png,1,reply,You'll be working at Burger King.,Fixxer,"Image shows a person holding a sign that says ""I WILL FIX EVERYTHING THAT JOE & I F*CKED UP SINCE 2021"" with a picture of a person in the background. The image is likely intended to be critical of the current administration.",10,0,0,0,7h,0,0.8,0.6,0,0,0.6,0,-0.8,0.7,0,0,1,0,0
1.85256E+18,screenshot_64.png,1,tweet,Disgusting,Dale Plemons,Image shows a woman with a distressed expression. The image is likely intended to evoke negative emotions and disapproval.,0,0,0,0,2h,-0.9,0.9,0,0,0,0,0.7,-0.9,0,0,1,0,0,-0.5267
1.85256E+18,screenshot_64.png,1,tweet,"Omg. The woman who was ultrafrog and watching Biddy blackmail and sexually assault women, women and children is now weeping begging you to vote for Kamala Harris.",Green Lives Matter,Image shows a woman with a distressed expression. The image is likely intended to evoke negative emotions and disapproval.,0,0,0,0,17h,-0.9,0.9,0,0,0,0,0.8,-0.9,0,0,0.211,0.789,0,-0.7717
1.85256E+18,screenshot_8.png,1,tweet,"People who do a poor job at their position don't get a promotion. Here's one of yours, Shama. He/she for canceling Trump's border security measures. So much available pain. -V",RealVinnieJames,"Image shows a young Black man, close-up portrait.  The image is likely associated with a news article about a migrant who was allegedly raped. The emotional tone of the image is likely serious and potentially evokes feelings of anger, sadness, or fear. The image is likely associated with the tweet's content about border security measures and the alleged victim.",4,7,17,289,7th,0,0,0,0,0,0,0.5,-0.5,0,0,0.196,0.734,0.07,-0.6444
1.85256E+18,screenshot_8.png,1,tweet,"Fighting for the people, wife, Momala, Auntie, Sherpa, Official account is @VP.",Kamala Harris,"Image shows a variety of news headlines and trending topics. The image is likely associated with a tweet about current events and political issues. The emotional tone of the image is likely neutral or mixed, depending on the specific headlines. The image is likely associated with the tweet's content about political issues and trending topics.",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.185,0.815,0,-0.3612
1.85256E+18,screenshot_65.png,1,reply,No you WILL NOT! The refs turn out is HISTORIC! Donald Trump will win and the future finally looks brighter,Jeff Dementi,"Image shows a person holding a sign with the words ""TOO BIG TO RIG"" in large, bold letters. The sign is held by a person in a crowd of people. The image appears to be related to political commentary, potentially about election integrity.",1,1,3,43,7h,0.7,0,0,0,0.5,0.3,0,0.8,0.2,0,0.084,0.649,0.267,0.6988
1.85256E+18,screenshot_65.png,1,tweet,Y'all trust her just like that?,skoolztm,"Image of a baby with braided hair. The image appears to be of a child, possibly a baby or toddler. The emotional traits are difficult to determine from the image alone, but it could be considered neutral or potentially heartwarming.",9,1,3,361,7h,0,0,0.3,0,0,0,0,0,0.6,0,0,0.408,0.592,0.7003
1.85256E+18,screenshot_65.png,1,tweet,"Fighting for the people, wife, Momala, Auntie, Sherriff, Official account is VP.",Kamala Harris,"Image of Kamala Harris. The image appears to be a headshot or portrait of the politician. The emotional traits are difficult to determine from the image alone, but it could be considered neutral or potentially authoritative.",0,1,1,43,1:10,0.8,0,0,0,0,0,0,0.7,0,0,0.185,0.815,0,-0.3612
